horse_id,sire,dam,bms
2021105821,リオンディーズ,モンローブロンド,アドマイヤベガ
2021106805,ロージズインメイRoses in May(米),フライングメリッサ,ダンスインザダーク
2021102685,ロードカナロア,ニシノマナムスメ,アグネスタキオン
2021100328,ダノンレジェンド,エーシンシャイナー,グラスワンダー
2021102752,ディーマジェスティ,ティンクルチャーミ,スウェプトオーヴァーボードSwept Overboard(米)
2021100402,マインドユアビスケッツMind Your Biscuits(米),ニシノラピート,サウスヴィグラス
2021104782,ニューイヤーズデイ,ブリオレット,ロードカナロア
2021103105,キンシャサノキセキ,マスイデア,リンカーン
2021101169,カリフォルニアクロームCalifornia Chrome(米),カウニスクッカ,マンハッタンカフェ
2021102792,マジェスティックウォリアーMajestic Warrior(米),クインズコノセ,キンシャサノキセキ
2021106538,デクラレーションオブウォー,アレキパ,スペシャルウィーク
2021103974,デクラレーションオブウォー,プリンセスオブザスターズPrincessofthestars(愛),Sea The StarsSea the Stars(愛)
2021101587,ジャングルポケット,クリアソウル,アグネスデジタル
2021106007,アポロケンタッキー,ススメヨンマル,ケープブランコCape Blanco(英)
2021100211,リアルインパクト,ハーランズロマン,Harlan's Holiday
2021103189,ビーチパトロールBeach Patrol(米),リベラルタイプ,ノヴェリストNovellist(愛)
2021107212,タリスマニックTalismanic(英),アドマイヤトパーズ,アドマイヤベガ
2021106874,ドレフォンDrefong(米),ゴールドアクション,ヘニーヒューズHenny Hughes(米)
2021100469,ダンカークDunkirk(米),カフェローレル,マンハッタンカフェ
2021104073,ダンカークDunkirk(米),ライトリーチューン,マンハッタンカフェ
2021104850,ディーマジェスティ,グリサージュ,クロフネ
2021102342,デクラレーションオブウォー,クナウ,シンボリクリスエス
2021100627,フェノーメノ,ハーツコンセンサス,ハーツクライ
2021101591,シュヴァルグラン,ファーマフローラ,スクリーンヒーロー
2021103758,クリエイターIICreator(米),マツリバヤシ,スマートボーイ
2021103174,ディスクリートキャットDiscreet Cat(米),タイキマロン,ファスリエフFasliyev(米)
2021102925,マジェスティックウォリアーMajestic Warrior(米),エイドローン,プリサイスエンドPrecise End(米)
2021106559,ルーラーシップ,アースザスリー,シンボリクリスエス
2021106224,サンダースノーThunder Snow(愛),マリアヴェロニカ,ジャングルポケット
2021100614,ホッコータルマエ,デイジーギャル,ブラックタイド
2021102394,サトノダイヤモンド,ブリーズドゥメール,ヴィクトワールピサ
2021104837,モーリス,エスプリドパリ,ハーツクライ
2021105032,ニューイヤーズデイ,コロニアルスタイル,ゴールドアリュール
2021103744,ブリックスアンドモルタルBricks and Mortar(米),パワースポット,スズカマンボ
2021103326,ジョーカプチーノ,オーミチェリッシュ,キャプテンスティーヴCaptain Steve(米)
2021100637,ヘンリーバローズ,ビビットオレンジ,ルーラーシップ
2021104487,ニシケンモノノフ,マヤノヴァイオラ,エンパイアメーカーEmpire Maker(米)
2021103317,アドマイヤムーン,ミク,キングズベストKing's Best(米)
2021106995,ネロ,ニシノナースコール,ブライアンズタイムBrian's Time(米)
2021107164,アメリカンペイトリオット,ベルフロレゾン,クロフネ
2021103511,ダノンバラード,チェアユーアップ,エアジハード
2021100608,ワールドエース,ラファーガ,バランスオブゲーム
2021106365,ヘニーヒューズHenny Hughes(米),ヤヤラーラ,ゼンノロブロイ
2021104570,ドレフォンDrefong(米),アイアムカミノマゴ,アグネスタキオン
2021104546,ベストウォーリア,クレヨンルージュ,フジキセキ
2021101881,レインボーライン,スタイルオブメロン,メジロマックイーン
2021103100,ホークビルHawkbill(米),ハーモニーフェア,シンボリクリスエス
2021102025,ダノンレジェンド,イチゴアミーラ,シンボリクリスエス
2021101356,アドミラブル,ノボキャビア,ノボジャック
2021103109,フェノーメノ,ステラアクトレス,オペラハウスOpera House(英)
2021103169,アメリカンペイトリオット,スノーサミット,アドマイヤムーン
2021100045,ダノンバラード,マリアベール,サクラバクシンオー
2021105308,リアルスティール,エクセレントデザインExcellent Design(豪),Exceed And Excel
2021109071,アルアイン,スズカワキア,キングカメハメハ
2021110094,Justify(米),Aloof,Galileo(愛)
2021106120,サトノクラウン,タイセイビビッド,ヴィクトワールピサ
2021104358,ベストウォーリア,スーパールミナル,ゼンノロブロイ
2021106522,ロゴタイプ,トウカイミーロ,ワークフォースWorkforce(英)
2021102857,ホッコータルマエ,プライムウィッシュ,シンボリクリスエス
2021105656,ヘニーヒューズHenny Hughes(米),ティンバレス,ウォーエンブレムWar Emblem(米)
2021104401,ロゴタイプ,サトノマイヒメ,ダイワメジャー
2021100843,ホッコータルマエ,スカーレットダンス,ダンスインザダーク
2021103713,Mendelssohn,エントロピアEntropia(亜),Mount Nelson(英)
2021102229,シャンハイボビーShanghai Bobby(米),ダンシングミッシー,シニスターミニスターSinister Minister(米)
2021105561,ドゥラメンテ,シャンパンエニワンChampagne Anyone(米),ストリートセンスStreet Sense(米)
2021106811,ゴールドシップ,マイネアルデュール,アドマイヤコジーン
2021106193,ゴールドシップ,イクスキューズ,ボストンハーバーBoston Harbor(米)
2021105458,ダイワメジャー,オープンウォーター,Include
2021103033,バゴBago(仏),サトノサンシャイン,ステイゴールド
2021105453,ラブリーデイ,オーキッドレイ,ディープインパクト
2021104943,ルーラーシップ,アラドヴァル,シンボリクリスエス
2021106812,キタサンブラック,マイネヴォヤージ,Teofilo
2021100674,レイデオロ,アスカビレン,ブラックタイド
2021103193,ジャスタウェイ,ジェルミナーレ,アドマイヤムーン
2021106961,シルバーステート,ブルーボサノヴァ,パイロPyro(米)
2021106775,ゴールドシップ,クードヴァン,ディープインパクト
2021105904,ドレフォンDrefong(米),ロッカフラベイビー,キングカメハメハ
2021103198,ハービンジャーHarbinger(英),パッショナルダンス,サンデーサイレンスSunday Silence(米)
2021102482,ゴールドシップ,ブリュメール,ティンバーカントリーTimber Country(米)
2021102860,レイデオロ,モハンマディ,ディープインパクト
2021106317,ミッキーグローリー,キューバンマンボ,スズカマンボ
2020102793,ルーラーシップ,エバーキュート,チチカステナンゴChichicastenango(仏)
2020106953,シニスターミニスターSinister Minister(米),フォルクスオーパー,テイエムオペラオー
2019105314,ジャスタウェイ,トゥザハピネス,シンボリクリスエス
2019100275,アイルハヴアナザーI'll Have Another(米),マイネチャーム,アグネスタキオン
2020100209,ハーツクライ,エーシンベロシティ,Lemon Drop Kid
2018101497,シニスターミニスターSinister Minister(米),ブラックシュガー,ブラックタイド
2020103921,マツリダゴッホ,ヌーナ,Congrats(米)
2017105117,フェノーメノ,タスクミストレス,キングカメハメハ
2020101425,ハービンジャーHarbinger(英),クラウンロゼ,ロサード
2020100838,カレンブラックヒル,ラヴコマンダー,コマンダーインチーフCommander in Chief(英)
2020101457,ダンカークDunkirk(米),ハタノメドゥーサ,ダンスインザダーク
2018105256,キングカメハメハ,ベルワトリングBelle Watling(智),Dushyantor
2020103923,ディーマジェスティ,ハイデフィニション,アグネスデジタル
2019106702,イスラボニータ,パワーオブフェイス,オジジアンOgygian(米)
2019106321,モーリス,エルラディユー,Unbridled's Song(米)
2018102681,ホッコータルマエ,シプカクラッチュ,デヒアDehere(米)
2021110021,Invincible Spirit(愛),Easy Victory,Dubawi
2021106440,アドマイヤムーン,ブライトホープ,Shamardal(米)
2021102670,イスラボニータ,アイカギ,ファンタスティックライトFantastic Light(米)
2021102388,スクリーンヒーロー,トウカイクルーク,エンパイアメーカーEmpire Maker(米)
2021106939,マツリダゴッホ,オーミポルカ,キングヘイロー
2021105057,ミッキーアイル,シアン,Smart Strike(加)
2021100356,アルアイン,クールユリア,ケイムホームCame Home(米)
